cod_ibge,municipio,sexo,idade,populacao
2301000,Aquiraz - CE,Total,50 a 54 anos,5221.0
2301000,Aquiraz - CE,Total,55 a 59 anos,4443.0
2301000,Aquiraz - CE,Total,60 a 64 anos,3580.0
2301000,Aquiraz - CE,Total,65 a 69 anos,2522.0
2301000,Aquiraz - CE,Total,70 a 74 anos,2100.0
2301000,Aquiraz - CE,Total,75 a 79 anos,1363.0
2301000,Aquiraz - CE,Total,80 a 84 anos,979.0
2301000,Aquiraz - CE,Total,85 a 89 anos,512.0
2301000,Aquiraz - CE,Total,90 a 94 anos,206.0
2301000,Aquiraz - CE,Total,95 a 99 anos,75.0
2301000,Aquiraz - CE,Total,100 anos ou mais,14.0
2301109,Aracati - CE,Total,Total,75113.0
2301109,Aracati - CE,Total,0 a 4 anos,4735.0
2301109,Aracati - CE,Total,5 a 9 anos,5144.0
2301109,Aracati - CE,Total,10 a 14 anos,5045.0
2301109,Aracati - CE,Total,15 a 19 anos,5417.0
2301109,Aracati - CE,Total,20 a 24 anos,5648.0
2301109,Aracati - CE,Total,25 a 29 anos,6153.0
2301109,Aracati - CE,Total,30 a 34 anos,6065.0
2301109,Aracati - CE,Total,35 a 39 anos,6110.0
2301109,Aracati - CE,Total,40 a 44 anos,5747.0
2301109,Aracati - CE,Total,45 a 49 anos,5189.0
2301109,Aracati - CE,Total,50 a 54 anos,4657.0
2301109,Aracati - CE,Total,55 a 59 anos,4218.0
2301109,Aracati - CE,Total,60 a 64 anos,3175.0
2301109,Aracati - CE,Total,65 a 69 anos,2494.0
2301109,Aracati - CE,Total,70 a 74 anos,2149.0
2301109,Aracati - CE,Total,75 a 79 anos,1489.0
2301109,Aracati - CE,Total,80 a 84 anos,879.0
2301109,Aracati - CE,Total,85 a 89 anos,467.0
2301109,Aracati - CE,Total,90 a 94 anos,232.0
2301109,Aracati - CE,Total,95 a 99 anos,73.0
2301109,Aracati - CE,Total,100 anos ou mais,27.0
2301208,Aracoiaba - CE,Total,Total,25553.0
2301208,Aracoiaba - CE,Total,0 a 4 anos,1688.0
2301208,Aracoiaba - CE,Total,5 a 9 anos,1771.0
2301208,Aracoiaba - CE,Total,10 a 14 anos,1881.0
2301208,Aracoiaba - CE,Total,15 a 19 anos,1859.0
2301208,Aracoiaba - CE,Total,20 a 24 anos,1987.0
2301208,Aracoiaba - CE,Total,25 a 29 anos,1959.0
2301208,Aracoiaba - CE,Total,30 a 34 anos,1904.0
2301208,Aracoiaba - CE,Total,35 a 39 anos,1854.0
2301208,Aracoiaba - CE,Total,40 a 44 anos,1920.0
2301208,Aracoiaba - CE,Total,45 a 49 anos,1617.0
2301208,Aracoiaba - CE,Total,50 a 54 anos,1441.0
2301208,Aracoiaba - CE,Total,55 a 59 anos,1504.0
2301208,Aracoiaba - CE,Total,60 a 64 anos,1199.0
2301208,Aracoiaba - CE,Total,65 a 69 anos,899.0
2301208,Aracoiaba - CE,Total,70 a 74 anos,775.0
2301208,Aracoiaba - CE,Total,75 a 79 anos,507.0
2301208,Aracoiaba - CE,Total,80 a 84 anos,402.0
2301208,Aracoiaba - CE,Total,85 a 89 anos,228.0
