NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2301703;Aurora - CE;9324;População residente estimada;2017;2017;45;Pessoas;24496
6;Município;2301703;Aurora - CE;9324;População residente estimada;2018;2018;45;Pessoas;24699
6;Município;2301703;Aurora - CE;9324;População residente estimada;2019;2019;45;Pessoas;24654
6;Município;2301703;Aurora - CE;9324;População residente estimada;2020;2020;45;Pessoas;24610
6;Município;2301703;Aurora - CE;9324;População residente estimada;2021;2021;45;Pessoas;24567
6;Município;2301703;Aurora - CE;9324;População residente estimada;2024;2024;45;Pessoas;24267
6;Município;2301802;Baixio - CE;9324;População residente estimada;2014;2014;45;Pessoas;6182
6;Município;2301802;Baixio - CE;9324;População residente estimada;2015;2015;45;Pessoas;6198
6;Município;2301802;Baixio - CE;9324;População residente estimada;2016;2016;45;Pessoas;6214
6;Município;2301802;Baixio - CE;9324;População residente estimada;2017;2017;45;Pessoas;6228
6;Município;2301802;Baixio - CE;9324;População residente estimada;2018;2018;45;Pessoas;6272
6;Município;2301802;Baixio - CE;9324;População residente estimada;2019;2019;45;Pessoas;6288
6;Município;2301802;Baixio - CE;9324;População residente estimada;2020;2020;45;Pessoas;6303
6;Município;2301802;Baixio - CE;9324;População residente estimada;2021;2021;45;Pessoas;6318
6;Município;2301802;Baixio - CE;9324;População residente estimada;2024;2024;45;Pessoas;5832
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2014;2014;45;Pessoas;17842
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2015;2015;45;Pessoas;17906
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2016;2016;45;Pessoas;17968
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2017;2017;45;Pessoas;18027
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2018;2018;45;Pessoas;18151
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2019;2019;45;Pessoas;18197
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2020;2020;45;Pessoas;18256
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2021;2021;45;Pessoas;18313
